version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,69975dae-6af9-4114-a304-2998866b859a,270f7bea0438925b949550915019451f,6018a756-d621-4735-9900-644cad6c924d,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,external,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,77f3741d-e1c8-4485-94aa-080003025b55,270f7bea0438925b949550915019451f,6018a756-d621-4735-9900-644cad6c924d,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,a5b3a149-acd1-46ec-a2ac-18ce6d1cca1b,270f7bea0438925b949550915019451f,6018a756-d621-4735-9900-644cad6c924d,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,8faf5e47-5ab0-450d-a85d-b9b3954dbd2b,af9006050e5f37ee5fac7f1ac1d1391b,27fa3c96-ce3e-4fa4-a95c-9ddc77bf029e,restamqpgw,addressbookbroker,0.0,36,24,36,yes
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,0614efb3-cfa1-464c-89d0-741a1f2373cc,af9006050e5f37ee5fac7f1ac1d1391b,27fa3c96-ce3e-4fa4-a95c-9ddc77bf029e,addressbookbroker,restamqpgw,429.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,025f32b3-e8fa-4fb0-8237-b170aa4bb30c,b503fbd694172e339c6d86bdd4c11283,82e1d145-567c-43d7-8f60-72e3ff94e195,restamqpgw,addressbookbroker,0.0,36,24,30,yes
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,89b3f4fb-fc3c-4687-afff-94bdea66a215,b503fbd694172e339c6d86bdd4c11283,82e1d145-567c-43d7-8f60-72e3ff94e195,addressbookbroker,restamqpgw,200.0,36,32,36,no
1,internal,load_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,a53cf1f1-8ab0-4f1e-b3b1-4c4afd529901,b503fbd694172e339c6d86bdd4c11283,82e1d145-567c-43d7-8f60-72e3ff94e195:c1cacf39-e286-43f6-bac7-180c809cc0bc,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,f357f256-3339-426e-8c01-c7a4ed639a39,f722252058505bdee0aa9cf3a01c6c6d,211e309e-940b-449e-84b9-dc27c8a0ef2e,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,6f227172-aed9-46a6-8da1-e4b65ffd611d,f722252058505bdee0aa9cf3a01c6c6d,211e309e-940b-449e-84b9-dc27c8a0ef2e,addressbookbroker,restamqpgw,503.0,36,32,36,yes
1,internal,create_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,48cfaf27-e6e8-4df6-829f-c1e93db8bd08,f722252058505bdee0aa9cf3a01c6c6d,211e309e-940b-449e-84b9-dc27c8a0ef2e:6f89e4c3-9834-45e8-a0e7-d0484fe12ae2,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,17336720-5ed8-4d93-851a-12b18e85c0a6,fd8c2c124e47e9795faa461ab73af168,952762f2-0e9b-4fac-9e3f-37feed9737b9,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,load_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,81344c5b-edf9-42a6-a14b-cb2815851560,fd8c2c124e47e9795faa461ab73af168,952762f2-0e9b-4fac-9e3f-37feed9737b9:8812cfdf-7249-4315-8593-2ad7fa62e4b4,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,8057672f-1e5f-4351-8588-913dc9ff5c5f,fd8c2c124e47e9795faa461ab73af168,952762f2-0e9b-4fac-9e3f-37feed9737b9,addressbookbroker,restamqpgw,200.0,36,32,36,no
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,9ced3ad6-cfc8-4332-8eef-279876cd6e73,8b89decbf24d45d380f0e08940f3c4b8,53df14e7-78d9-409f-bd7a-26d115d1551c,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,6b51a666-a22b-41ad-b3b3-33c76642c8f5,8b89decbf24d45d380f0e08940f3c4b8,53df14e7-78d9-409f-bd7a-26d115d1551c,addressbookbroker,restamqpgw,200.0,36,32,36,no
